product_id,product_type,product_name,product_sku,category_ids,category_names,modifier_ids,okya_modifier_ids,modifier_names,add_on_ids,add_on_names,components
100128,NOUN,2 - pc. Pancakes w/ Drink,1-AC608011000211_1-MC608011000056,428,Breakfast Joys,32723,1100128,Drinks : Breakfast (DB),,,"butter, pancake, pancake syrup"
100129,NOUN,Longganisa w/ Drink,1-AC608011000210_1-MC608011000055,428,Breakfast Joys,"32660, 34426","1100129, 2100129","Drinks : Breakfast (DB), Extras: Breakfast (EBF)",,,"fried egg, garlic rice, longganisa"
100130,NOUN,Breakfast Burger Steak w/ Drink,1-AC608011000205_1-MC608011000050,428,Breakfast Joys,"32709, 34211","1100130, 2100130","Drinks : Breakfast (DB), Extras: Breakfast Burger Steak  (EBFB)",,,"burger steak patty, fried egg, garlic rice, mushroom, steak sauce"
100131,NOUN,Breakfast Hotdog w/ Drink,1-AC608011000209_1-MC608011000054,428,Breakfast Joys,32717,1100131,Drinks : Breakfast (DB),,,"breakfast hotdog, fried egg, garlic rice"
100132,NOUN,Corned Beef w/ Drink,1-AC608011000207_1-MC608011000052,428,Breakfast Joys,"32674, 34182","1100132, 2100132","Drinks : Breakfast (DB), Extras: Breakfast (EBF)",,,"corned beef, fried egg, garlic rice"
100133,NOUN,Beef Tapa w/ Drink,1-AC608011000204_1-MC608011000049,428,Breakfast Joys,"32667, 34180","1100133, 2100133","Drinks : Breakfast (DB), Extras: Breakfast (EBF)",,,"beef tapa, fried egg, garlic rice"
100151,NOUN,Amazing Aloha Champ Jr. w/ Fries & Drink,,424,Burgers,"34137, 34300, 34301, 34302, 34303","1100151, 2100151, 3100151, 4100151, 5100151","Bacon Preference (BPAFD), Choice of Fries (COF), Drinks: (VM/SVM), Extras: Burgers (EB), Add-on Desserts (AODS)",,,"all fries, honey mustard dressing, jr champ sesame bun, lettuce, pineapple slice, sliced cheese, tomato, yum patty"
100153,NOUN,6-pc. Chicken Nuggets Solo,1-AA6081110003838_1-MC6081110003423,419,Chicken Nuggets,"28557, 31628, 34079","1100153, 2100153, 3100153","Choice of Dip (COD), Add-on Dip (AOD), Add-on Desserts (AODS)",,,"6x nuggets, all nuggets"
100159,NOUN,6-pc. Chicken Nuggets w/ Fries & Drink,1-AC6081110003210_1-MC6081110003423,419,Chicken Nuggets,"30853, 30851, 31629, 31630, 34078","1100159, 2100159, 3100159, 4100159, 5100159","Choice of Dip (COD), Choice of Fries (COF), Drinks: (VM/SVM), Add-on Dip (AOD), Add-on Desserts (AODS)",,,"6x nuggets, all fries, all nuggets"
100166,NOUN,Champ Jr. Solo,AA608011041111,424,Burgers,"32086, 32088","1100166, 2100166","Extras: Burgers (EB), Add-on Desserts (AODS)",,,"honey mustard dressing, jr champ sesame bun, lettuce, pineapple slice, sliced cheese, tomato, yum patty"
100168,NOUN,Jolly Spaghetti Family Pan,AA608011041128,"416,422","Family Meals, Jolly Spaghetti & Palabok",,,,,,"family pan spaghetti, spaghetti grated cheese, spaghetti noodles, spaghetti sauce"
